city,city_key,date,source,crawled_at,Temp,Temp_min,Temp_max,Pressure,Wind,Rain,Cloud,raw_text
Hà Nội,ha-noi,2026-01-06,thoitiet360,2026-01-06 23:56:11,14.0,11.0,15.0,1028.0,6.92,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-07,thoitiet360,2026-01-07 11:15:44,17.0,13.0,20.0,1028.0,5.57,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-08,thoitiet360,2026-01-08 10:24:28,18.0,12.0,21.0,1028.0,4.7,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-09,thoitiet360,2026-01-09 10:25:06,17.0,12.0,21.0,1024.0,3.67,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-10,thoitiet360,2026-01-10 10:19:16,18.0,13.0,22.0,1021.0,2.99,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-11,thoitiet360,2026-01-11 10:44:27,20.0,14.0,23.0,1025.0,5.19,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-12,thoitiet360,2026-01-12 10:43:51,20.0,14.0,23.0,1022.0,3.0,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-13,thoitiet360,2026-01-13 10:23:00,20.0,15.0,25.0,1021.0,4.36,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-14,thoitiet360,2026-01-14 10:41:53,20.0,15.0,25.0,1017.0,5.58,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-15,thoitiet360,2026-01-15 10:25:25,20.0,16.0,24.0,1018.0,3.64,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-16,thoitiet360,2026-01-16 10:24:42,21.0,18.0,23.0,1014.0,3.62,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-17,thoitiet360,2026-01-17 10:17:49,21.0,19.0,23.0,1015.0,2.58,0.23,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-18,thoitiet360,2026-01-18 10:40:27,22.0,19.0,26.0,1013.0,5.41,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hà Nội,ha-noi,2026-01-19,thoitiet360,2026-01-19 10:44:40,22.0,19.0,24.0,1014.0,3.87,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-06,thoitiet360,2026-01-06 23:56:19,32.0,24.0,33.0,1013.0,4.66,2.51,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-07,thoitiet360,2026-01-07 11:15:51,27.0,22.0,31.0,1015.0,4.99,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-08,thoitiet360,2026-01-08 10:24:36,26.0,21.0,31.0,1017.0,5.35,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-09,thoitiet360,2026-01-09 10:25:13,25.0,19.0,29.0,1016.0,5.04,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-10,thoitiet360,2026-01-10 10:19:24,26.0,20.0,30.0,1015.0,3.03,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-11,thoitiet360,2026-01-11 10:44:34,28.0,22.0,29.0,1016.0,3.55,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-12,thoitiet360,2026-01-12 10:43:59,29.0,25.0,30.0,1016.0,4.54,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-13,thoitiet360,2026-01-13 10:23:07,27.0,24.0,30.0,1015.0,5.3,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-14,thoitiet360,2026-01-14 10:42:01,28.0,23.0,30.0,1014.0,4.8,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-15,thoitiet360,2026-01-15 10:25:33,29.0,24.0,34.0,1013.0,6.16,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-16,thoitiet360,2026-01-16 10:24:49,29.0,24.0,31.0,1013.0,5.75,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-17,thoitiet360,2026-01-17 10:17:57,28.0,23.0,31.0,1011.0,5.9,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-18,thoitiet360,2026-01-18 10:40:34,28.0,22.0,30.0,1010.0,6.15,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Hồ Chí Minh,ho-chi-minh,2026-01-19,thoitiet360,2026-01-19 10:44:48,28.0,23.0,30.0,1011.0,5.99,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-06,thoitiet360,2026-01-06 23:56:14,17.0,15.0,18.4,1024.0,6.04,1.67,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-07,thoitiet360,2026-01-07 11:15:48,15.0,13.4,16.8,1027.0,3.64,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-08,thoitiet360,2026-01-08 10:24:32,17.0,12.3,18.4,1028.0,4.71,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-09,thoitiet360,2026-01-09 10:25:09,19.0,12.1,21.0,1023.0,3.82,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-10,thoitiet360,2026-01-10 10:19:20,19.0,13.0,21.3,1020.0,4.21,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-11,thoitiet360,2026-01-11 10:44:31,20.0,14.0,21.3,1025.0,3.61,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-12,thoitiet360,2026-01-12 10:43:55,20.0,13.5,22.3,1021.0,4.16,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-13,thoitiet360,2026-01-13 10:23:03,21.0,15.5,22.5,1021.0,3.69,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-14,thoitiet360,2026-01-14 10:41:57,21.0,15.5,23.3,1016.0,4.51,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-15,thoitiet360,2026-01-15 10:25:29,20.0,18.3,22.7,1018.0,3.87,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-16,thoitiet360,2026-01-16 10:24:46,23.0,17.8,24.1,1013.0,4.32,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-17,thoitiet360,2026-01-17 10:17:53,22.0,18.1,24.2,1014.0,4.04,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-18,thoitiet360,2026-01-18 10:40:31,24.0,20.2,25.4,1013.0,5.0,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
Vinh,vinh,2026-01-19,thoitiet360,2026-01-19 10:44:44,24.0,18.0,25.0,1013.0,4.72,0.0,,Trang chủ Thời tiết các Tỉnh/TP Đông Bắc Bộ
